nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,salario_bruto,quant_viagem,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par
 JOSE ABILIO SILVA DE SANTANA,M,74,0,0,14,10,0, 13/02/1965,"33.763,00",0,"1.108.321,75","111.465,40","110.533,22","110.100,41","110.786,04","110.880,16","111.233,47","110.081,76","111.544,21","110.215,80","111.481,28",0,0,"247.344,95","33.227,00","39.252,23","40.431,29","42.361,77","47.223,74","35.504,89","9.344,03",0,0,0,0,0
 ALAN RICK MIRANDA,M,68,3,4,25,6,4, 23/10/1976,"33.763,00",0,"1.078.268,62","101.892,42","102.534,86","102.426,62","104.157,16","111.523,01","109.314,55","111.605,00","111.605,00","111.605,00","111.605,00",0,0,"260.266,82","25.341,00","49.605,50","42.101,87","52.911,63","58.520,65","22.071,70","9.714,47",0,0,0,0,0
 ACÁCIO DA SILVA FAVACHO NETO,M,62,0,30,7,13,10, 28/09/1983,"33.763,00",0,"1.102.803,66","111.580,74","110.219,17","111.580,74","111.580,74","111.616,38","111.344,83","104.998,59","107.400,25","111.241,11","111.241,11",0,0,"359.004,95","53.128,93","68.164,59","36.043,19","33.949,34","34.152,00","31.013,23","28.767,50","36.398,45","23.741,26","13.646,46",0,0
 AÉCIO NEVES DA CUNHA,M,82,0,10,5,9,2, 10/03/1960,"33.763,00",1,"1.060.028,98","94.326,90","95.955,27","100.909,09","106.586,03","109.801,60","110.143,24","110.143,24","109.220,27","111.471,67","111.471,67",0,0,"277.312,30","39.186,59","27.534,82","38.926,50","34.658,66","30.032,66","23.189,71","18.791,37","19.260,07","25.008,05","18.219,61",0,0
 ADOLFO VIANA DE CASTRO NETO,M,74,0,18,3,2,0, 02/02/1981,"33.763,00",0,"1.038.693,82","99.324,67","102.260,18","104.117,05","105.126,72","105.126,72","104.072,48","102.746,18","105.126,72","105.126,72","105.666,38",0,0,"321.178,70","52.708,80","40.019,47","45.679,91","28.915,46","51.013,39","21.158,76","53.593,14","17.135,90","5.153,87","5.800,00",0,0
 ALCEU MOREIRA DA SILVA,M,79,3,10,25,4,6, 04/06/1954,"33.763,00",0,"1.099.097,84","111.429,24","111.429,24","111.389,34","109.930,00","111.580,90","111.595,06","111.376,03","111.097,00","104.210,91","105.060,12",0,0,"333.913,36","33.409,67","47.543,73","66.396,79","41.576,56","28.880,58","28.442,87","24.547,55","21.775,28","18.521,58","22.474,78",0,0
 AIRTON LUIZ FALEIRO,M,80,10,2,39,34,1, 16/03/1959,"33.763,00",0,"1.106.094,83","110.495,06","109.093,86","108.711,72","110.056,29","111.289,65","111.289,65","111.289,65","111.289,65","111.289,65","111.289,65",0,0,"310.929,21","35.394,75","15.750,75","52.334,70","69.448,32","59.994,95","30.701,91","23.743,07","13.560,75","10.000,01",0,0,0
 AFONSO ANTUNES DA MOTTA,M,90,2,0,33,16,10, 08/01/1950,"33.763,00",0,"1.032.442,88","104.034,98","104.034,98","103.913,86","100.280,23","99.498,32","99.974,51","104.249,61","105.630,26","105.630,26","105.195,87",0,0,"352.096,20","32.139,72","33.987,87","68.366,38","63.600,42","35.921,80","29.311,40","34.287,44","24.321,70","16.769,66","12.379,32",0,0
 AELTON JOSÉ DE FREITAS,M,83,7,2,22,14,2, 15/12/1961,"33.763,00",0,"1.102.022,19","111.326,04","111.343,59","111.629,35","111.629,35","111.457,94","111.397,84","107.361,35","107.874,60","107.874,60","110.127,53",0,0,"368.130,16","37.592,87","44.508,37","46.095,45","33.084,47","49.928,24","19.715,12","38.644,85","22.680,38","19.806,39","55.061,64",0,0
 ANTONIO JOSE AGUIAR ALBUQUERQUE,M,77,7,8,8,8,4, 26/09/1983,"33.763,00",0,"1.070.478,23","111.386,57","111.386,57","111.386,57","111.127,78","111.422,99","111.217,97","109.372,75","91.130,31","101.450,80","100.595,92",0,0,"285.631,58","20.904,41","48.923,15","29.493,45","50.213,67","61.247,64","8.046,24","21.729,25","18.453,95","10.715,78","15.326,76",0,0
